source,activityid,facultyid,userid,work_title,year,publisher,publisher_location,isbn_print,doi,pages,page_count,authors,url,status
FAR,49016,113124248,113124248,Quantifying Distortion Energy in Collagen Matrices Subjected to Complex Loads Using a Biaxial Bioreactor.,2019.0,,,,,nan,,[],,"[{""id"": 49016, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2019, ""termid"": ""2019/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49049,114088551,114088551,Scaling up lidar-derived forest structure with data fusion in a megadiverse country,2019.0,,,,,nan,,[],,"[{""id"": 49049, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2019, ""termid"": ""2019/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49050,114088551,114088551,Fly Another Day: Spying on Vegetation with Drones in Semi-Arid Rangelands,2019.0,,,,,nan,,[],,"[{""id"": 49050, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2019, ""termid"": ""2019/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49051,114088551,114088551,Levels of ecological hierarchy clarify the determinism/stochasticity debate on tropical forest succession,2019.0,,,,,nan,,[],,"[{""id"": 49051, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2019, ""termid"": ""2019/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49132,114001930,114001930,Facilitating a robotics program in an after-school context: Elementary school teachers' perceived learning,2019.0,Society for Information Technology and Teacher Education,Las Vegas,,,1762-1767,,[],,"[{""id"": 49132, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2019, ""termid"": ""2018/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 49132, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2018, ""termid"": ""2018/02"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,49142,114001930,114001930,Discourse Practice of Computational Thinking,2019.0,Society for Information Technology and Teacher Education,Las Vegas,,,341-346,,[],,"[{""id"": 49142, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2019, ""termid"": ""2018/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 49142, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2018, ""termid"": ""2018/02"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,49145,114001930,114001930,Cultivating Mathematics Practice in A Computational Thinking Infused Robotic Activity,2018.0,PME,"Umeå, Sweden",,,305,,[],,"[{""id"": 49145, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2018, ""termid"": ""2018/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49150,114001930,114001930,Elementary Students’ Computational Thinking Practice in A Bridge Design and Building Challenge (Fundamental),2019.0,NSF,"Orlando, FL",,,nan,,[],https://www.asee.org/conferences-and-events/conferences/annual-conference/2018,"[{""id"": 49150, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2019, ""termid"": ""2019/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49152,114001930,114001930,Assessing computational thinking in a project-based STEM+CT learning environment,2019.0,AERA,"Toronto, Canada",,,nan,,[],,"[{""id"": 49152, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2019, ""termid"": ""2018/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49165,111716691,111716691,Cyber-Physical Systems Security Introductory Course for STEM Students,2020.0,,,,,nan,,[],,"[{""id"": 49165, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2020, ""termid"": ""2019/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 49165, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 2, ""completionorder"": 2}]"
FAR,49168,114003223,114003223,AdaptLidarTools: A Full-Waveform Lidar Processing Suite,2019.0,,,,,nan,,[],,"[{""id"": 49168, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2019, ""termid"": ""2019/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49196,114058240,114058240,Privacy-Preserving Genomic Data Publishing via Differentially-Private Sufﬁx Tree,2019.0,,,,,nan,,[],,"[{""id"": 49196, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49197,114058240,114058240,A Study of the Multiple Sign-in Feature in Web Applications,2019.0,,,,,nan,,[],,"[{""id"": 49197, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49198,114058240,114058240,Contextualizing Consensus Protocols in Blockchain: A Short Survey,2019.0,,,,,nan,,[],,"[{""id"": 49198, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49321,114001675,114001675,Multimodal Characterization and Testing of Heat-reflective Coatings to Mitigate the Urban Heat Island,2020.0,,,,,nan,,[],,"[{""id"": 49321, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2019, ""termid"": ""2019/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49323,114001675,114001675,A Meso-scale Coupled Thermo-hydro-mechanical Model for Predicting Concrete Pavement Performance Subject to ASR Degradation,2019.0,,,,,nan,,[],,"[{""id"": 49323, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2019, ""termid"": ""2019/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49333,112132208,112132208,Determination of Zircaloy Oxide Chemistry Through Complimentary Characterization Techniques,2019.0,,,,,nan,,[],,"[{""id"": 49333, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
