source,activityid,facultyid,userid,work_title,year,publisher,publisher_location,isbn_print,doi,pages,page_count,authors,url,status
FAR,23593,111110347,111110347,The Curious Writer 5e,2016,Pearson,New York,,,nan,,[],,"[{""id"": 23593, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 23593, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2015, ""termid"": ""2015/02"", ""listingorder"": 2, ""completionorder"": 2}]"
FAR,23866,113171989,113171989,"External review for promotion and tenure, SPEC Kit No. 293",2006,Association of Research Libraries,,,,nan,,[],http://digitalcommons.unl.edu/libraryscience/142,"[{""id"": 23866, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2006, ""termid"": ""2006/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,23871,111113451,111113451,Becoming Basque: Ethnic Heritage on Boise's Grove Street,2014,Boise State University,,,,nan,,[],,"[{""id"": 23871, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2014, ""termid"": ""2013/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,23874,111113451,111113451,Un Legado que Perdura: La Historia de los Vascos en Idaho,2005,Servicio Central de Publicaciones del Gobierno Vasco,,,,nan,,[],http://scholarworks.boisestate.edu/fac_books/273,"[{""id"": 23874, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2005, ""termid"": ""2004/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,23875,111113451,111113451,An Enduring Legacy: A History of the Basques in,2000,University of Nevada Reno,"Reno, Nevada",,,nan,,[],,"[{""id"": 23875, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2000, ""termid"": ""2000/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,23876,111113451,111113451,"Showdown in the Big Quiet: Land, Government and Identity in the",2016,,"Lubbock, Texas",,,nan,,[],,"[{""id"": 23876, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 23876, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2011, ""termid"": ""2011/02"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,23938,112054227,112054227,In the Eyes of the Beholder: Critical Issues for Diversity in Gifted Education,2004,,,,,"In the Eyes of the Beholder: Critical Issues for Diversity in Gifted Education offers the most extensive look available at how gifted education can rise to encourage a more diverse student population and become enriched by the diversity of those children. This book looks specifically at diversity in gifted education as it relates to race, gender, and socioeconomic status.",,[],http://scholarworks.boisestate.edu/fac_books/192,"[{""id"": 23938, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2004, ""termid"": ""2003/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,23939,112054227,112054227,Twice exceptional manual,2011,Idaho State Edpartment of Education,"Boise, ID",,,nan,,[],,"[{""id"": 23939, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2011, ""termid"": ""2011/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,23986,111110006,111110006,Existential Authenticity in Three Novels of Spanish Author Miguel Delibes,2004,E. Mellen Press,,,,"Reference to Miguel Delibes as a novelist of authenticity has become an unexplored cliché of Delibean criticism. Grounded in a Heideggerian approach to (in)authenticity, this is a philosophical reading of three of his texts: Cinco horas con Mario [Five Hours with Mario], Seńora de rojo sobre fondo gris [Lady in Red on a Gray Background], and Cartas de amor de un sexagenario voluptuoso [Love Letters from a Voluptuous Sexagenarian].",,[],http://scholarworks.boisestate.edu/fac_books/214,"[{""id"": 23986, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2004, ""termid"": ""2003/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24005,111727002,111727002,War Upon the Land: Military Strategy and the Transformation of Southern Landscapes During the American Civil War,2012,University of Georgia Press,Athens,9.78082E+12,,nan,,[],http://scholarworks.boisestate.edu/fac_books/308,"[{""id"": 24005, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2012, ""termid"": ""2011/03"", ""listingorder"": 6, ""completionorder"": 6}]"
