activityid,facultyid,userid,fields__activity_type,fields__actual_projected_year_of_publication_presentation,fields__author,fields__author_editor_of_larger_work,fields__author_s,fields__author_s_editor_s,fields__book_title,fields__chapter_title,fields__co_contributor,fields__co_contributor_s,fields__conference_location,fields__conference_meeting_name,fields__contributor,fields__contributor_s,fields__copyright_patent_number_id,fields__date,fields__date_or_date_range,fields__date_published,fields__description_abstract,fields__doi,fields__edition,fields__if_patent_cooperation_treaty_list_nations,fields__if_patent_has_been_assigned_to_whom,fields__if_patent_has_been_licensed_to_whom,fields__inventor_s,fields__isbn,fields__isbn_issn,fields__isbn_issn_asin,fields__isbn_issn_asin_number,fields__issn,fields__issn_isbn,fields__issue,fields__issue_number,fields__issue_number_edition,fields__journal,fields__location_of_publisher_city_state_country,fields__month,fields__month_season,fields__name_of_conference,fields__name_of_performing_group,fields__name_of_venue,fields__name_of_venue_sponsor,fields__organization_if_applicable,fields__origin,fields__outlet_if_applicable,fields__page_number_or_number_of_pages,fields__page_numbers,fields__page_numbers_of_number_of_pages,fields__page_numbers_or_number_of_pages,fields__patent_nationality,fields__presenter_s,fields__publisher,fields__publisher_location,fields__pubmed_central_id_number,fields__sponsoring_organization,fields__title,fields__title_of_contribution,fields__title_of_contribution_if_applicable,fields__title_of_intellectual_property,fields__title_of_larger_work,fields__title_of_larger_work_if_applicable,fields__title_of_presentation,fields__title_of_review,fields__title_of_work,fields__type,fields__url,fields__venue_sponsor_location_city_state_country,fields__volume,fields__web_address,fields__work_exhibit_title,attachments,status,authors
34274,114087965,114087965,,2014.0,,,,,"Conservative Christianity and sexual orientation in social work: Privilege, oppression, and the pursuit of human rights","Christian students’ attitudes toward sexual minorities: Religious teachings, religiosity, and contact",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,,,,,,,CSWE,,,,,,,,,,,,,Chapter,,,,,,"[{""attachmentid"": 6056, ""mimetype"": ""application/pdf"", ""filename"": ""Christian students attitudes.pdf"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeTg0YVBBQWpyRithUVl3RWYvMGNGNkhBaGNneUlzSHgyeVRjcUkwa1ljc0MranRCaW1YMDNjZlFDTUhEajQxWWVpdTVTZ09qRHRqQ2lCTGlTMkxQVlZBPT0%3D"", ""filesize"": 1389927}]","[{""id"": 34274, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2014, ""termid"": ""2014/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Chonody, J. M.', 'Woodford, M.', 'Smith, K. S.', 'Silverschanz, P.']"
34275,114087965,114087965,,2014.0,,,,,Contemporary social work practice: A handbook for students,Social work practice with older adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,,,,,,,McGraw Hill,,,,,,,,,,,,,Chapter,,,,,,"[{""attachmentid"": 6057, ""mimetype"": ""application/pdf"", ""filename"": ""Social work practice with older adults.pdf"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeTg0YVBBQWpyRithUVl3RWYvMGNGNkZFSVdvZ1VwTjVkZ0g5U1IvTTNDUnBCWWtBNG9NVUNKY0lJRDkyU2Flc2xaZXNrTnZFQTlBSTVCdHI3KzkzbVdDTmpIUHkxNk9Ldg%3D%3D"", ""filesize"": 201789}]","[{""id"": 34275, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2014, ""termid"": ""2014/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Teater, B.', 'Chonody, J. M.']"
34296,111618272,111618272,,2019.0,,,,,THE HANDBOOK ON SOCIAL WORK ETHICS AND VALUES,Self-Determination and Abortion Access: A Pro-Choice Perspective on the International Statement of Ethical Principles,,,,,,,,,,,This chapter will also be submitted for publication as an article in the The Journal of Social Work Values and Ethics.,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,,,,,,,Routledge,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 34296, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2019, ""termid"": ""2018/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Witt, H.', 'Franklin, C.', 'Goldblatt Hyatt, E.', 'Younes, M.']"
34496,111643735,111643735,,2019.0,,J. Ponzetti ,,,Macmillan encyclopedia of intimate and family relationships: An interdisciplinary approach,Friendship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,,385-389,,,,,Macmillan Reference,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 34496, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2019, ""termid"": ""2018/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 34496, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 1, ""completionorder"": 1}]","['Reeder, H.', 'Jimenez, M.']"
34556,114086631,114086631,,2018.0,,"Mo Yee Lee, PhD",,,Integrative Body-Mind-Spirit Social Work: An Empirically Based Approach to Assessment and Treatment,Integrative wellness coaching,,,,,,,,,,,,,2nd,,,,,,,,,,,,,,,,,,,,,,,Manual,,,,,,,,Oxford University Press,New York,,,,,,,,,,,,Chapter,,,,,,"[{""attachmentid"": 8433, ""mimetype"": ""application/pdf"", ""filename"": ""Wellness Chapter.pdf"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeTg0YVBBQWpyRithRHlhWkFWNHE5NDFsMlVCRWZNeHRjT09tK3dWTFhYR3pWSTZ3MjRsa1hHSzZGZ0VtWmlNeS8%3D"", ""filesize"": 181095}]","[{""id"": 34556, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Beauchemin, J.']"
34575,114086631,114086631,,2016.0,,,,,Oxford Bibliographies in Social Work,Crisis interventions ,,,,,,,,,,,,10.1093/OBO/9780195389678-0233,,,,,,,,,,,,,,,,,,,,,,,,Manual,,,,,,,,New York: Oxford University Press,,,,,,,,,,,,,Chapter,,,,http://www.oxfordbibliographies.com/view/document/obo-9780195389678/obo-9780195389678-0233.xml,,[],"[{""id"": 34575, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Lee, M. Y.', 'Beauchemin, J.', 'Grover Ely, C.', 'Mullen, E.']"
34597,111308555,111308555,,2018.0,,,,,Preparing the Next Generation of Teacher Educators for Clinically-Intensive Teacher Preparation,FACING PRACTICE: TEACHER EDUCATOR INQUIRY FOR DEVELOPMENT ACROSS THE PROFESSIONAL LIFE SPAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 34597, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2019, ""termid"": ""2018/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 34597, ""status"": ""Submitted"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 2, ""completionorder"": 2}]","['Hicks, S.', 'Wenner, J.', 'Dismuke, S.', 'Snow-Gerono, J. L.']"
34813,112096941,112096941,,2018.0,,"Gerri Kimber, Tim Martin, and Christine Froula",,,Katherine Mansfield and Virginia Woolf,"The Fly and the Displaced Self: Affective Potential in the Epiphanic Moments of Mansfield, Woolf, and Lawrence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,,102-116,,,,,Edinburgh University Press,Edinburgh,,,,,,,,,,,,Chapter,,,,,,"[{""attachmentid"": 12400, ""mimetype"": ""application/pdf"", ""filename"": ""Fly-Mansfield-Woolf-Lawrence.pdf"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeWpuRllEYTF1bVgxQ2JQSklNVFBxWE5tT2dHTHVpNStHa2pIcmNRN2d1MVZBNi9Hczg1bEphbEZ3bUxmbUx4R0tvNTJQY0lXR1hhdDhzVTM1ZU41YmFnPT0%3D"", ""filesize"": 143350}]","[{""id"": 34813, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 34813, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 4, ""completionorder"": 4}]","['Hindrichs, C. L.']"
34826,114059338,114059338,,2017.0,,"Pompper, D.",,,"Corporate Social Responsibility, Sustainability, & Ethical Public Relations: Strengthening Synergies with Human Resources","Corporate Social Responsibility, Volunteerism, and Social Identity: A Case Study of Cotopaxi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,,,,,,,Emerald Publishing,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 34826, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Wood, R. M.', 'Berger, J.', 'Roberts, J. S.']"
34833,114043970,114043970,,2014.0,,,,,The Nurture versus Biosocial Debate in Criminology,The puzzling relationship between age and criminal behavior: A biosocial critique of the criminological status quo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 34833, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2015, ""termid"": ""2015/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Barnes, J.', 'Jorgensen, C.', 'Pacheco, D.', 'TenEyek, M.']"
