faculty_id,activity_id
113146926,138
113146926,139
111110548,204
111110548,205
111110548,206
111110548,207
111110548,208
111110548,209
111110548,210
111110548,211
111110548,212
111110548,213
111110548,214
111110548,215
111110548,216
111110548,217
111110548,218
111110548,219
111110548,220
111110548,221
111110548,222
111110548,223
111110548,224
111110548,226
111110548,227
111110407,259
111110407,260
111110407,261
111110407,262
111110407,263
111110407,264
111112978,394
111112978,395
111112978,396
111112978,397
111112978,398
111112978,399
111112978,400
111110548,567
113146926,796
113146926,797
113146926,798
113146926,799
113146926,800
113146926,801
113146926,802
111110548,806
111110548,807
111110548,808
111110548,809
111110548,810
113146926,874
113146926,875
113146926,876
113146926,877
113146926,878
113146926,879
113146926,880
113146926,881
113146926,882
113146926,883
113146926,884
113146926,885
113146926,886
113146926,887
113146926,888
113146926,889
113146926,890
111110548,916
111110548,917
111110548,918
111110548,919
111110548,920
111110548,921
111110548,922
111110548,923
111110548,924
111110548,925
111110548,926
111110548,927
111110548,928
111110548,929
113125243,932
111110407,935
111110410,1076
111110410,1077
111110347,1093
111110347,1094
111110347,1095
111110347,1096
111110100,1108
111110100,1109
111110100,1110
111113451,1114
111113451,1115
112002659,1133
112002659,1134
111110006,1135
111110070,1148
111110070,1149
111110070,1150
111110070,1151
111110070,1152
111201769,1156
111201769,1157
111358636,1158
111358636,1159
113083497,1165
111110314,1166
111110314,1167
111110314,1168
111110314,1169
111110314,1170
111110314,1171
112099407,1185
112099407,1186
112102649,1187
112102649,1188
112192272,1192
112192272,1193
112192272,1194
112192272,1195
112192272,1196
112192272,1197
112192272,1198
112192272,1199
112192272,1200
112192272,1201
112192272,1202
112192272,1203
112192272,1204
112192272,1205
111110155,1206
114002257,1212
114002257,1213
114002258,1217
112182688,1218
112182688,1219
112182688,1220
112182688,1221
112182688,1222
112182688,1223
112182688,1224
112182688,1225
112032282,1236
112032282,1237
112032282,1238
111114223,1242
111277518,1243
111110183,1247
111110183,1248
112146020,1265
112142993,1267
112142993,1268
112179883,1269
113151490,1278
113151490,1279
111110323,1282
111110323,1283
111110323,1284
111110323,1285
111110323,1286
111110323,1287
111110323,1288
111110323,1289
111110323,1290
111110323,1291
111110323,1292
111110323,1293
111110323,1294
111110323,1295
111110323,1297
113116836,1304
113116836,1305
113116836,1306
113116836,1307
112100122,1323
113026222,1325
113026222,1326
114023975,1327
113070031,1333
111669970,1335
111669970,1336
111669970,1337
111669970,1338
113144147,1361
113144147,1362
113144147,1363
111110239,1376
111110239,1377
111727706,1378
111727706,1379
111110261,1385
111110261,1386
112031674,1393
112031674,1394
111699531,1397
111699531,1398
111146699,1399
111240729,1400
111111683,1411
111111683,1412
111116958,1416
111240873,1417
112145571,1423
111110005,1424
111110005,1425
111110020,1432
113122305,1452
111641510,1464
111641510,1465
113168274,1467
112088454,1472
111110252,1477
111110252,1478
111110252,1479
111110252,1480
111110252,1481
112103309,1483
112103309,1484
111706620,1485
111706620,1486
111706620,1487
111706620,1488
111706620,1489
111643642,1491
111643642,1492
111643642,1493
111643642,1494
111643642,1495
111643642,1496
111715805,1507
113153409,1539
113153409,1540
113153409,1541
113153409,1542
113153409,1543
113153409,1544
113153409,1545
113153409,1546
113153409,1547
113153409,1548
113153409,1549
113153409,1550
113153409,1551
113153409,1552
113153409,1554
113153409,1555
113153409,1557
113153409,1558
113153409,1559
111110410,1578
111110410,1579
111110410,1580
111110410,1581
111110410,1582
111110410,1583
111110410,1584
111110410,1585
111110410,1586
111110410,1587
111110410,1588
111110410,1589
111110410,1590
111110410,1591
111110410,1592
111110410,1593
111110410,1594
111110410,1595
111110410,1596
111110410,1597
111110410,1598
111110410,1599
111110410,1600
111110410,1601
111110410,1602
